puzzle_idx,extraction_accuracy,is_valid_solution,matches_clues,is_correct,exact_match_expected,cells_match_expected,total_cells,extract_time,solve_time
57,0.98828125,False,False,False,False,0,256,0.1570580005645752,0.0667729377746582
58,1.0,True,True,True,True,256,256,0.1579759120941162,1.1176331043243408
59,0.98046875,False,False,False,False,0,256,0.17220592498779297,0.06100893020629883
60,0.984375,False,False,False,False,0,256,0.18018794059753418,0.0690758228302002
61,0.99609375,False,False,False,False,0,256,0.19236111640930176,0.05945181846618652
62,1.0,True,True,True,True,256,256,0.15465593338012695,1.0896461009979248
63,0.9921875,False,False,False,False,0,256,0.17122507095336914,0.05361509323120117
64,0.99609375,False,False,False,False,0,256,0.20047211647033691,0.04861021041870117
65,0.99609375,False,False,False,False,0,256,0.19369816780090332,0.04550814628601074
66,0.9921875,False,False,False,False,0,256,0.20442700386047363,0.0674130916595459
67,0.98046875,False,False,False,False,0,256,0.180649995803833,0.04586195945739746
68,0.98046875,False,False,False,False,0,256,0.1875298023223877,0.05904102325439453
69,0.98828125,False,False,False,False,0,256,0.19959282875061035,0.04799008369445801
70,0.9921875,False,False,False,False,0,256,0.19451379776000977,0.05569291114807129
71,0.98828125,False,False,False,False,0,256,0.15790295600891113,0.04711008071899414
72,1.0,True,True,True,True,256,256,0.15477395057678223,1.263413906097412
73,0.984375,False,False,False,False,0,256,0.18234014511108398,0.07346200942993164
74,0.98828125,False,False,False,False,0,256,0.1916351318359375,0.05453372001647949
75,1.0,True,True,True,True,256,256,0.1938459873199463,0.9729189872741699
76,0.98828125,False,False,False,False,0,256,0.18300318717956543,0.19159793853759766
77,0.98828125,False,False,False,False,0,256,0.26012492179870605,0.049610137939453125
78,0.9921875,False,False,False,False,0,256,0.21059298515319824,0.04693198204040527
79,0.98828125,False,False,False,False,0,256,0.2798590660095215,0.047924041748046875
80,0.99609375,False,False,False,False,0,256,0.2061619758605957,0.04903388023376465
81,0.99609375,False,False,False,False,0,256,0.16812682151794434,0.046459197998046875
82,0.99609375,False,False,False,False,0,256,0.17624974250793457,0.06305503845214844
83,0.9921875,False,False,False,False,0,256,0.1775050163269043,0.04346203804016113
84,0.98046875,False,False,False,False,0,256,0.14653515815734863,0.052049875259399414
85,0.9921875,False,False,False,False,0,256,0.18321990966796875,0.05072307586669922
86,0.99609375,False,False,False,False,0,256,0.1801133155822754,0.05975508689880371
87,0.99609375,False,False,False,False,0,256,0.17041397094726562,0.05639982223510742
88,0.98828125,False,False,False,False,0,256,0.17880606651306152,0.0566248893737793
89,0.9921875,False,False,False,False,0,256,0.19013667106628418,0.058882951736450195
90,1.0,True,True,True,True,256,256,0.19138479232788086,0.8965160846710205
91,0.9921875,False,False,False,False,0,256,0.14018797874450684,0.05459403991699219
92,0.98828125,False,False,False,False,0,256,0.15727925300598145,0.05098104476928711
93,1.0,True,True,True,True,256,256,0.18009114265441895,1.0483860969543457
