size,puzzle_idx,extraction_accuracy,is_valid_solution,matches_clues,is_correct,exact_match_expected,cells_match_expected,total_cells,extract_time,solve_time
4,43,1.0,True,True,True,True,16,16,0.012640953063964844,0.008711099624633789
4,44,1.0,True,True,True,True,16,16,0.011195182800292969,0.010291099548339844
4,45,1.0,True,True,True,True,16,16,0.023411989212036133,0.0055310726165771484
4,46,1.0,True,True,True,True,16,16,0.012974023818969727,0.005983114242553711
4,47,0.9375,False,False,False,False,0,16,0.011495828628540039,0.003720998764038086
4,48,1.0,True,True,True,True,16,16,0.02582097053527832,0.01326894760131836
4,49,1.0,True,True,True,True,16,16,0.01477193832397461,0.006529092788696289
4,50,1.0,True,True,True,True,16,16,0.013012170791625977,0.006492137908935547
4,51,1.0,True,True,True,True,16,16,0.012637853622436523,0.009140968322753906
4,52,1.0,True,True,True,True,16,16,0.014472007751464844,0.006269931793212891
4,53,1.0,True,True,True,True,16,16,0.014644145965576172,0.009885072708129883
4,54,1.0,True,True,True,True,16,16,0.01369333267211914,0.0065348148345947266
4,55,1.0,True,True,True,True,16,16,0.01187586784362793,0.010030984878540039
4,56,1.0,True,True,True,True,16,16,0.011835098266601562,0.00993800163269043
4,57,1.0,True,True,True,True,16,16,0.013134002685546875,0.005913972854614258
4,58,1.0,True,True,True,True,16,16,0.019841909408569336,0.016566038131713867
4,59,1.0,True,True,True,True,16,16,0.01495814323425293,0.012661933898925781
4,60,1.0,True,True,True,True,16,16,0.014784097671508789,0.006184101104736328
4,61,1.0,True,True,True,True,16,16,0.010604143142700195,0.02360081672668457
4,62,1.0,True,True,True,True,16,16,0.013506174087524414,0.007339954376220703
4,63,0.9375,False,False,False,False,0,16,0.012638092041015625,0.0077168941497802734
4,64,1.0,True,True,True,True,16,16,0.012117147445678711,0.008086681365966797
4,65,1.0,True,True,True,True,16,16,0.011664867401123047,0.006761312484741211
4,66,1.0,True,True,True,True,16,16,0.012622833251953125,0.010418176651000977
4,67,1.0,True,True,True,True,16,16,0.013423681259155273,0.011081933975219727
4,68,1.0,True,True,True,True,16,16,0.013267993927001953,0.011536121368408203
4,69,1.0,True,True,True,True,16,16,0.010715007781982422,0.01121377944946289
4,70,1.0,True,True,True,True,16,16,0.01052403450012207,0.00595402717590332
4,71,1.0,True,True,True,True,16,16,0.011664867401123047,0.008280038833618164
4,72,1.0,True,True,True,True,16,16,0.011384010314941406,0.006661176681518555
4,73,1.0,True,True,True,True,16,16,0.011539936065673828,0.012015104293823242
4,74,0.9375,False,False,False,False,0,16,0.015465021133422852,0.003393888473510742
4,75,1.0,True,True,True,True,16,16,0.0158841609954834,0.008202075958251953
4,76,1.0,True,True,True,True,16,16,0.012770891189575195,0.005415916442871094
4,77,0.9375,False,False,False,False,0,16,0.012876033782958984,0.005019187927246094
4,78,0.9375,False,False,False,False,0,16,0.017601966857910156,0.008733987808227539
4,79,1.0,True,True,True,True,16,16,0.017255783081054688,0.006513357162475586
4,80,1.0,True,True,True,True,16,16,0.014255762100219727,0.0063343048095703125
4,81,1.0,True,True,True,True,16,16,0.01413416862487793,0.005780935287475586
4,82,1.0,True,True,True,True,16,16,0.013949871063232422,0.005629777908325195
4,83,1.0,True,True,True,True,16,16,0.01403498649597168,0.008786916732788086
4,84,1.0,True,True,True,True,16,16,0.013206720352172852,0.010960102081298828
4,85,1.0,True,True,True,True,16,16,0.02316117286682129,0.010373830795288086
4,86,1.0,True,True,True,True,16,16,0.014041900634765625,0.006186962127685547
4,87,1.0,True,True,True,True,16,16,0.012857198715209961,0.010528087615966797
4,88,0.9375,False,False,False,False,0,16,0.013998746871948242,0.006348848342895508
4,89,1.0,True,True,True,True,16,16,0.012893915176391602,0.011449098587036133
4,90,1.0,True,True,True,True,16,16,0.012830018997192383,0.011693716049194336
4,91,1.0,True,True,True,True,16,16,0.01357889175415039,0.006875038146972656
4,92,1.0,True,True,True,True,16,16,0.010962963104248047,0.01124715805053711
4,93,1.0,True,True,True,True,16,16,0.01146697998046875,0.009771108627319336
4,94,1.0,True,True,True,True,16,16,0.015742063522338867,0.007788896560668945
4,95,1.0,True,True,True,True,16,16,0.011446952819824219,0.014133930206298828
4,96,1.0,True,True,True,True,16,16,0.014873027801513672,0.012191057205200195
4,97,1.0,True,True,True,True,16,16,0.012259721755981445,0.011420965194702148
4,98,1.0,True,True,True,True,16,16,0.015280961990356445,0.009501934051513672
4,99,1.0,True,True,True,True,16,16,0.012058734893798828,0.010404109954833984
9,0,1.0,True,True,True,True,81,81,0.046341896057128906,0.14919590950012207
9,1,0.9876543209876543,False,False,False,False,0,81,0.04175615310668945,0.012082099914550781
9,2,0.9876543209876543,False,False,False,False,0,81,0.06318306922912598,0.029735088348388672
9,3,1.0,True,True,True,True,81,81,0.0421910285949707,0.2875370979309082
9,4,0.9753086419753086,False,False,False,False,0,81,0.035282135009765625,0.015172719955444336
9,5,1.0,True,True,True,True,81,81,0.037854909896850586,0.3375668525695801
9,6,1.0,True,True,True,True,81,81,0.06537413597106934,0.1722111701965332
