puzzle_idx,extraction_accuracy,is_valid_solution,matches_clues,is_correct,cells_match_expected,total_cells,extract_time,solve_time
40,1.0,True,True,True,249,256,0.12601709365844727,1.085942029953003
41,1.0,True,True,True,213,256,0.16565918922424316,3.247936964035034
42,1.0,True,True,True,221,256,0.18287396430969238,1.1538991928100586
43,1.0,True,True,True,203,256,0.14320898056030273,2.9972050189971924
44,1.0,True,True,True,240,256,0.13712096214294434,1.0158448219299316
45,1.0,True,True,True,235,256,0.11127400398254395,1.2022478580474854
46,1.0,True,True,True,235,256,0.19519901275634766,2.3373308181762695
47,1.0,True,True,True,222,256,0.14053988456726074,1.9699070453643799
48,1.0,True,True,True,241,256,0.16892790794372559,1.287522792816162
49,1.0,True,True,True,238,256,0.17749285697937012,0.8810689449310303
50,1.0,True,True,True,199,256,0.13809490203857422,2.542957067489624
51,1.0,True,True,True,223,256,0.1629800796508789,1.667088270187378
52,1.0,True,True,True,224,256,0.13244390487670898,1.3550269603729248
53,1.0,True,True,True,209,256,0.12139606475830078,1.700058937072754
54,1.0,True,True,True,227,256,0.2154531478881836,1.413444995880127
55,1.0,True,True,True,231,256,0.20150303840637207,1.8539378643035889
56,1.0,True,True,True,231,256,0.17392706871032715,2.1011908054351807
57,1.0,True,True,True,225,256,0.12398004531860352,2.4919838905334473
58,1.0,True,True,True,227,256,0.12468504905700684,1.200148105621338
59,1.0,True,True,True,242,256,0.11932015419006348,1.8470089435577393
60,1.0,True,True,True,231,256,0.21412110328674316,0.9265778064727783
61,1.0,True,True,True,230,256,0.1303410530090332,1.181152105331421
62,1.0,True,True,True,207,256,0.11795306205749512,1.0179190635681152
63,1.0,True,True,True,238,256,0.13287091255187988,1.769284963607788
64,1.0,True,True,True,241,256,0.11735200881958008,0.6557807922363281
65,1.0,True,True,True,214,256,0.24563097953796387,1.1222221851348877
66,1.0,True,True,True,233,256,0.10615205764770508,1.0265069007873535
67,1.0,True,True,True,232,256,0.17607498168945312,2.003654956817627
68,1.0,True,True,True,206,256,0.15222811698913574,1.8325650691986084
69,1.0,True,True,True,199,256,0.13409185409545898,2.689176082611084
70,1.0,True,True,True,244,256,0.33942604064941406,1.6980829238891602
71,1.0,True,True,True,224,256,0.23101401329040527,1.3993349075317383
72,1.0,True,True,True,230,256,0.16760873794555664,0.9276468753814697
73,1.0,True,True,True,244,256,0.17262506484985352,1.259631872177124
74,1.0,True,True,True,233,256,0.14574408531188965,1.4562230110168457
75,1.0,True,True,True,231,256,0.14870214462280273,1.309913158416748
76,1.0,True,True,True,241,256,0.14242196083068848,1.149679183959961
77,1.0,True,True,True,223,256,0.20014405250549316,1.2591969966888428
78,1.0,True,True,True,205,256,0.1656491756439209,6.988188028335571
79,1.0,True,True,True,241,256,0.15030312538146973,1.4234519004821777
80,1.0,True,True,True,239,256,0.1671750545501709,0.6279520988464355
81,1.0,True,True,True,210,256,0.1264336109161377,2.01342511177063
82,1.0,True,True,True,229,256,0.14056921005249023,0.4541788101196289
83,1.0,True,True,True,220,256,0.1496877670288086,4.873759031295776
84,1.0,True,True,True,212,256,0.1493370532989502,1.7402076721191406
85,1.0,True,True,True,214,256,0.2025449275970459,2.1168360710144043
86,1.0,True,True,True,234,256,0.16566991806030273,1.0052390098571777
87,1.0,True,True,True,225,256,0.14146113395690918,0.5874919891357422
88,1.0,True,True,True,204,256,0.16446399688720703,1.2227110862731934
89,1.0,True,True,True,242,256,0.14302372932434082,1.2173080444335938
90,1.0,True,True,True,223,256,0.14775609970092773,1.4468729496002197
91,1.0,True,True,True,226,256,0.13689398765563965,1.5648529529571533
92,1.0,True,True,True,249,256,0.19008898735046387,0.8373639583587646
