puzzle_type,puzzle_idx,extraction_accuracy,correction_type,num_errors_corrected,final_success,extract_time,solve_time
sudoku_4x4,52,1.0,none,0,True,0.019138097763061523,0.008261919021606445
sudoku_4x4,53,1.0,none,0,True,0.027639150619506836,0.00817418098449707
sudoku_4x4,54,1.0,none,0,True,0.02077317237854004,0.007941961288452148
sudoku_4x4,55,1.0,none,0,True,0.025131940841674805,0.011353015899658203
sudoku_4x4,56,1.0,none,0,True,0.023569822311401367,0.009783029556274414
sudoku_4x4,57,1.0,none,0,True,0.02729201316833496,0.013843059539794922
sudoku_4x4,58,1.0,none,0,True,0.048438072204589844,0.007667064666748047
sudoku_4x4,59,1.0,none,0,True,0.020001888275146484,0.009093999862670898
sudoku_4x4,60,1.0,none,0,True,0.022047042846679688,0.009044885635375977
sudoku_4x4,61,1.0,none,0,True,0.023547887802124023,0.0066547393798828125
sudoku_4x4,62,1.0,none,0,True,0.01653003692626953,0.007013082504272461
sudoku_4x4,63,1.0,none,0,True,0.023436784744262695,0.008804082870483398
sudoku_4x4,64,1.0,none,0,True,0.03175806999206543,0.01191401481628418
sudoku_4x4,65,1.0,none,0,True,0.028966188430786133,0.009307861328125
sudoku_4x4,66,1.0,none,0,True,0.028244972229003906,0.01359105110168457
sudoku_4x4,67,1.0,none,0,True,0.050039052963256836,0.011746883392333984
sudoku_4x4,68,1.0,none,0,True,0.0754551887512207,0.009202003479003906
sudoku_4x4,69,1.0,none,0,True,0.02371811866760254,0.00851297378540039
sudoku_4x4,70,1.0,none,0,True,0.017512083053588867,0.008051872253417969
sudoku_4x4,71,1.0,none,0,True,0.017833948135375977,0.008320093154907227
sudoku_4x4,72,1.0,none,0,True,0.01811361312866211,0.00801706314086914
sudoku_4x4,73,1.0,none,0,True,0.019093990325927734,0.008558988571166992
sudoku_4x4,74,1.0,none,0,True,0.025983810424804688,0.007773160934448242
sudoku_4x4,75,1.0,none,0,True,0.019098997116088867,0.007750034332275391
sudoku_4x4,76,1.0,none,0,True,0.019743919372558594,0.006709098815917969
sudoku_4x4,77,1.0,none,0,True,0.021697044372558594,0.006705045700073242
sudoku_4x4,78,1.0,none,0,True,0.0182802677154541,0.010763168334960938
sudoku_4x4,79,1.0,none,0,True,0.020576000213623047,0.006697893142700195
sudoku_4x4,80,1.0,none,0,True,0.01979207992553711,0.006325960159301758
sudoku_4x4,81,1.0,none,0,True,0.01636981964111328,0.007328987121582031
sudoku_4x4,82,1.0,none,0,True,0.019110918045043945,0.006336212158203125
sudoku_4x4,83,1.0,none,0,True,0.015992164611816406,0.00599980354309082
sudoku_4x4,84,1.0,none,0,True,0.031553030014038086,0.01250004768371582
sudoku_4x4,85,1.0,none,0,True,0.02328181266784668,0.00922703742980957
sudoku_4x4,86,1.0,none,0,True,0.01773691177368164,0.01069021224975586
sudoku_4x4,87,1.0,none,0,True,0.01695084571838379,0.007127046585083008
sudoku_4x4,88,1.0,none,0,True,0.017055988311767578,0.009657144546508789
sudoku_4x4,89,1.0,none,0,True,0.018416166305541992,0.011580705642700195
sudoku_4x4,90,1.0,none,0,True,0.02011704444885254,0.008318901062011719
sudoku_4x4,91,1.0,none,0,True,0.021384239196777344,0.00788116455078125
sudoku_4x4,92,1.0,none,0,True,0.01990509033203125,0.0069828033447265625
sudoku_4x4,93,1.0,none,0,True,0.01961994171142578,0.011155843734741211
sudoku_4x4,94,1.0,none,0,True,0.023519039154052734,0.009578227996826172
sudoku_4x4,95,1.0,none,0,True,0.0244290828704834,0.007278919219970703
sudoku_4x4,96,1.0,none,0,True,0.022547006607055664,0.007929086685180664
sudoku_4x4,97,1.0,none,0,True,0.01945805549621582,0.008648872375488281
sudoku_4x4,98,1.0,none,0,True,0.030817031860351562,0.008563995361328125
sudoku_4x4,99,1.0,none,0,True,0.023487091064453125,0.008135795593261719
sudoku_9x9,0,1.0,none,0,True,0.1520230770111084,0.18858909606933594
sudoku_9x9,1,1.0,none,0,True,0.06710696220397949,0.12756109237670898
sudoku_9x9,2,0.9876543209876543,none,0,False,0.09665274620056152,0.38196587562561035
sudoku_9x9,3,1.0,none,0,True,0.07974386215209961,0.30716896057128906
sudoku_9x9,4,0.9876543209876543,single,1,False,0.08489298820495605,0.3581571578979492
sudoku_9x9,5,1.0,none,0,True,0.08382916450500488,0.22170114517211914
sudoku_9x9,6,1.0,none,0,True,0.11955022811889648,0.13624811172485352
sudoku_9x9,7,1.0,none,0,True,0.08407878875732422,0.2617299556732178
sudoku_9x9,8,1.0,none,0,True,0.07985591888427734,0.1477649211883545
sudoku_9x9,9,1.0,none,0,True,0.07653498649597168,0.14578676223754883
sudoku_9x9,10,1.0,none,0,True,0.10233402252197266,0.06618809700012207
sudoku_9x9,11,1.0,none,0,True,0.06908392906188965,0.14896893501281738
sudoku_9x9,12,1.0,none,0,True,0.08789587020874023,0.09411787986755371
sudoku_9x9,13,1.0,none,0,True,0.06748604774475098,0.3937399387359619
sudoku_9x9,14,1.0,none,0,True,0.0646820068359375,0.16670513153076172
sudoku_9x9,15,1.0,none,0,True,0.06552982330322266,0.27786803245544434
sudoku_9x9,16,1.0,none,0,True,0.06132078170776367,0.40775108337402344
sudoku_9x9,17,1.0,none,0,True,0.0633080005645752,0.26294898986816406
sudoku_9x9,18,1.0,none,0,True,0.07857894897460938,0.1214900016784668
sudoku_9x9,19,1.0,none,0,True,0.08489322662353516,0.08947491645812988
sudoku_9x9,20,1.0,none,0,True,0.07428216934204102,0.25272607803344727
sudoku_9x9,21,1.0,none,0,True,0.07625102996826172,0.29004716873168945
sudoku_9x9,22,1.0,none,0,True,0.0858008861541748,0.1386258602142334
sudoku_9x9,23,1.0,none,0,True,0.09318876266479492,0.2514369487762451
sudoku_9x9,24,1.0,none,0,True,0.10968708992004395,0.24117398262023926
sudoku_9x9,25,1.0,none,0,True,0.11359620094299316,0.12000012397766113
sudoku_9x9,26,1.0,none,0,True,0.08011388778686523,0.12931323051452637
sudoku_9x9,27,1.0,none,0,True,0.07723522186279297,0.24265384674072266
sudoku_9x9,28,1.0,none,0,True,0.1008608341217041,0.4744417667388916
