size,puzzle_idx,extraction_accuracy,is_valid_solution,matches_clues,is_correct,exact_match_expected,cells_match_expected,total_cells,extract_time,solve_time
4,58,1.0,True,True,True,True,16,16,0.007269859313964844,0.005207061767578125
4,59,1.0,True,True,True,True,16,16,0.0064427852630615234,0.0050830841064453125
4,60,1.0,True,True,True,True,16,16,0.0068187713623046875,0.0050580501556396484
4,61,1.0,True,True,True,True,16,16,0.006917238235473633,0.005084037780761719
4,62,1.0,True,True,True,True,16,16,0.00689387321472168,0.0053560733795166016
4,63,1.0,True,True,True,True,16,16,0.0075931549072265625,0.0052297115325927734
4,64,1.0,True,True,True,True,16,16,0.007109880447387695,0.004970073699951172
4,65,1.0,True,True,True,True,16,16,0.0060939788818359375,0.0049059391021728516
4,66,1.0,True,True,True,True,16,16,0.00690007209777832,0.005140066146850586
4,67,1.0,True,True,True,True,16,16,0.007010936737060547,0.00526118278503418
4,68,1.0,True,True,True,True,16,16,0.0069942474365234375,0.00531315803527832
4,69,1.0,True,True,True,True,16,16,0.007091999053955078,0.005486965179443359
4,70,1.0,True,True,True,True,16,16,0.0067479610443115234,0.0050640106201171875
4,71,1.0,True,True,True,True,16,16,0.0061969757080078125,0.005094051361083984
4,72,1.0,True,True,True,True,16,16,0.006680965423583984,0.0050470829010009766
4,73,1.0,True,True,True,True,16,16,0.006400108337402344,0.005154132843017578
4,74,1.0,True,True,True,True,16,16,0.0073778629302978516,0.004873991012573242
4,75,1.0,True,True,True,True,16,16,0.007075786590576172,0.005105018615722656
4,76,1.0,True,True,True,True,16,16,0.007792949676513672,0.0051081180572509766
4,77,1.0,True,True,True,True,16,16,0.0067901611328125,0.005004167556762695
4,78,1.0,True,True,True,True,16,16,0.007375001907348633,0.005279064178466797
4,79,1.0,True,True,True,True,16,16,0.007789134979248047,0.005095958709716797
4,80,1.0,True,True,True,True,16,16,0.008471012115478516,0.0050427913665771484
4,81,1.0,True,True,True,True,16,16,0.006966829299926758,0.005197048187255859
4,82,1.0,True,True,True,True,16,16,0.007585048675537109,0.004962921142578125
4,83,1.0,True,True,True,True,16,16,0.0075910091400146484,0.005236148834228516
4,84,1.0,True,True,True,True,16,16,0.00746607780456543,0.005331993103027344
4,85,1.0,True,True,True,True,16,16,0.007281064987182617,0.005089998245239258
4,86,0.9375,True,True,True,False,8,16,0.006803035736083984,0.005246877670288086
4,87,1.0,True,True,True,True,16,16,0.007426023483276367,0.004940986633300781
4,88,1.0,True,True,True,True,16,16,0.006955623626708984,0.005328178405761719
4,89,1.0,True,True,True,True,16,16,0.007196903228759766,0.005053997039794922
4,90,1.0,True,True,True,True,16,16,0.006644248962402344,0.005032062530517578
