size,puzzle_idx,extraction_accuracy,is_valid_solution,matches_clues,is_correct,exact_match_expected,cells_match_expected,total_cells,extract_time,solve_time
4,31,1.0,True,True,True,True,16,16,0.0064220428466796875,0.004609107971191406
4,32,1.0,True,True,True,True,16,16,0.005821943283081055,0.0045680999755859375
4,33,1.0,True,True,True,True,16,16,0.005946159362792969,0.004663944244384766
4,34,1.0,True,True,True,True,16,16,0.005808830261230469,0.0045261383056640625
4,35,1.0,True,True,True,True,16,16,0.0059490203857421875,0.004557132720947266
4,36,1.0,True,True,True,True,16,16,0.0058329105377197266,0.004561901092529297
4,37,1.0,True,True,True,True,16,16,0.005915164947509766,0.004645824432373047
4,38,1.0,True,True,True,True,16,16,0.0056760311126708984,0.0046231746673583984
4,39,1.0,True,True,True,True,16,16,0.006131887435913086,0.0045108795166015625
4,40,1.0,True,True,True,True,16,16,0.0064029693603515625,0.004575014114379883
4,41,0.9375,True,True,True,True,16,16,0.0061609745025634766,0.004609107971191406
4,42,1.0,True,True,True,True,16,16,0.006227970123291016,0.0047490596771240234
4,43,1.0,True,True,True,True,16,16,0.005924224853515625,0.004728078842163086
4,44,1.0,True,True,True,True,16,16,0.006306171417236328,0.004525661468505859
4,45,1.0,True,True,True,True,16,16,0.005928754806518555,0.00462794303894043
4,46,1.0,True,True,True,True,16,16,0.006061077117919922,0.004501819610595703
4,47,0.9375,False,False,False,False,0,16,0.005554914474487305,0.0028679370880126953
4,48,1.0,True,True,True,True,16,16,0.006348848342895508,0.0047149658203125
4,49,1.0,True,True,True,True,16,16,0.006440877914428711,0.004508256912231445
4,50,1.0,True,True,True,True,16,16,0.005206108093261719,0.004496097564697266
4,51,1.0,True,True,True,True,16,16,0.0060231685638427734,0.0047168731689453125
4,52,1.0,True,True,True,True,16,16,0.005635976791381836,0.0045049190521240234
4,53,1.0,True,True,True,True,16,16,0.005855083465576172,0.004603862762451172
4,54,1.0,True,True,True,True,16,16,0.006690025329589844,0.004513978958129883
4,55,1.0,True,True,True,True,16,16,0.008060932159423828,0.0047190189361572266
4,56,1.0,True,True,True,True,16,16,0.005911111831665039,0.004778861999511719
4,57,1.0,True,True,True,True,16,16,0.006042957305908203,0.004548072814941406
4,58,1.0,True,True,True,True,16,16,0.0065097808837890625,0.004476070404052734
4,59,1.0,True,True,True,True,16,16,0.0050771236419677734,0.004662036895751953
4,60,1.0,True,True,True,True,16,16,0.005972146987915039,0.0047838687896728516
4,61,1.0,True,True,True,True,16,16,0.006067991256713867,0.0046617984771728516
4,62,1.0,True,True,True,True,16,16,0.0059010982513427734,0.004746913909912109
