puzzle_id,size,error_type,error_count,details
6_9,6,ocr_errors,5,"target:2->20, target:14->120, target:11->17, target:4->40, target:4->20"
6_10,6,ocr_errors,5,"target:1->12, target:2->20, target:14->12, target:2->13, target:2->3"
6_11,6,ocr_errors,5,"target:10->180, target:17->15, target:14->144, target:40->96, target:40->90"
6_12,6,ocr_errors,3,"target:7->72, target:4->9, target:7->4"
6_13,6,ocr_errors,7,"target:16->18, target:0->8, target:12->100, target:14->144, target:0->2, target:6->60, target:7->9"
6_14,6,ocr_errors,3,"target:1->17, target:1->7, target:7->9"
6_15,6,ocr_errors,5,"target:4->20, target:4->9, target:0->60, target:4->24, target:1->2.0"
6_16,6,ocr_errors,4,"target:1->7, target:46->96, target:2->20, target:34->360"
6_17,6,ocr_errors,3,"target:1->7, target:20->240, target:0->5.0"
6_18,6,ocr_errors,1,target:3->8
6_19,6,ocr_errors,3,"target:6->8, target:5->8, target:10->150"
6_20,6,ocr_errors,6,"target:20->240, target:70->30, target:24->144, target:4->240, target:0->6, target:4->90"
6_21,6,ocr_errors,1,target:9->96
6_22,6,ocr_errors,4,"target:71->11, target:1->8, target:40->240, target:1->2"
6_23,6,ocr_errors,2,"target:23->20, target:2->20"
6_24,6,ocr_errors,6,"target:4->40, target:2->36, target:4->20, target:11->17, target:1->12, target:10->12"
6_25,6,ocr_errors,1,target:4->48
6_26,6,ocr_errors,1,target:18->180
6_27,6,ocr_errors,8,"target:7->24, target:2->30, target:1->15, target:170->120, target:2->60, target:1->2.0, target:2->60, target:4->9"
6_28,6,ocr_errors,3,"target:7->8, target:26->240, target:4->36"
6_29,6,ocr_errors,3,"target:4->9, target:2->72, target:2->24"
6_30,6,ocr_errors,6,"target:4->9, target:10->180, target:1->7, target:7->9, target:6->1, target:5->3"
6_31,6,ocr_errors,3,"target:4->9, target:11->19, target:11->100"
6_32,6,ocr_errors,3,"target:26->96, target:60->90, target:4->48"
6_33,6,ocr_errors,3,"target:3->13, target:17->18, target:7->9"
6_34,6,ocr_errors,2,"target:17->180, target:12->4.0"
6_35,6,ocr_errors,3,"target:1->8, target:0->6, target:45->48"
6_36,6,ocr_errors,5,"target:70->90, target:14->120, target:3->2, target:17->12, target:4->40"
6_37,6,ocr_errors,1,target:1->15
6_38,6,ocr_errors,5,"target:14->180, target:7->5.0, target:2->60, target:2->72, target:32->360"
6_39,6,ocr_errors,5,"target:2->20, target:5->3, target:12->120, target:70->90, target:8->80"
6_40,6,ocr_errors,7,"target:22->180, target:1->12, target:2->120, target:3->30, target:4->9, target:2->20, target:4->360"
6_41,6,ocr_errors,6,"target:12->90, target:2->50, target:0->6, target:4->9, target:210->270, target:7->9"
6_42,6,ocr_errors,3,"target:4->48, target:15->150, target:2->288"
6_43,6,ocr_errors,2,"target:4->30, target:1->7"
6_44,6,ocr_errors,2,"target:77->19, target:12->120"
6_45,6,ocr_errors,1,target:14->180
6_46,6,ocr_errors,7,"target:5->3.0, target:7->9, target:17->180, target:16->18, target:2->360, target:4->9, target:4->40"
6_47,6,ocr_errors,4,"target:12->100, target:17->10, target:6->13, target:13->16"
6_48,6,ocr_errors,3,"target:12->180, target:30->36, target:0->12"
6_49,6,ocr_errors,3,"target:4->9, target:1->12, target:40->90"
6_50,6,ocr_errors,3,"target:0->17, target:0->13, target:103->900"
6_51,6,ocr_errors,6,"target:11->14, target:46->96, target:7->3, target:2->24, target:13->10, target:14->144"
6_52,6,ocr_errors,7,"target:7->4, target:0->72, target:12->160, target:20->144, target:2->20, target:4->9, target:5->8"
6_53,6,ocr_errors,3,"target:46->96, target:2->60, target:2->20"
6_54,6,ocr_errors,7,"target:4->9, target:22->180, target:12->120, target:2->24, target:47->48, target:5->48, target:110->180"
6_55,6,ocr_errors,2,"target:7->72, target:4->30"
6_56,6,ocr_errors,6,"target:7->8, target:14->120, target:1->9, target:13->15, target:1->7, target:0->6"
6_57,6,ocr_errors,1,target:13->3
6_58,6,ocr_errors,4,"target:40->90, target:6->120, target:4->36, target:6->20"
6_59,6,ocr_errors,4,"target:47->40, target:32->360, target:2->30, target:4->10"
6_60,6,ocr_errors,3,"target:41->288, target:2->54, target:2->30"
6_61,6,ocr_errors,2,"target:4->20, target:4->20"
6_62,6,ocr_errors,5,"target:7->4, target:40->360, target:4->9, target:2->80, target:14->144"
6_63,6,none,0,
6_64,6,ocr_errors,4,"target:23->225, target:14->144, target:2->20, target:20->240"
6_65,6,ocr_errors,1,target:7->90
6_66,6,ocr_errors,3,"target:4->240, target:0->72, target:23->12"
6_67,6,ocr_errors,4,"target:31->3, target:6->20, target:4->36, target:1->14"
6_68,6,ocr_errors,3,"target:70->10, target:40->480, target:0->30"
6_69,6,ocr_errors,4,"target:2->60, target:6->48, target:42->450, target:4->9"
6_70,6,ocr_errors,4,"target:4->14, target:2->20, target:16->96, target:4->90"
6_71,6,ocr_errors,1,target:0->6
6_72,6,ocr_errors,4,"target:32->300, target:2->24, target:6->60, target:10->16"
6_73,6,ocr_errors,2,"target:2->600, target:2->90"
6_74,6,ocr_errors,7,"target:12->30, target:10->7, target:0->6, target:4->9, target:3->9, target:0->6, target:2->24"
6_75,6,ocr_errors,5,"target:7->9, target:4->24, target:4->80, target:11->17, target:2->60"
6_76,6,ocr_errors,4,"target:16->18, target:4->240, target:11->17, target:2->20"
6_77,6,ocr_errors,4,"target:8->25, target:4->180, target:147->192, target:1->13"
6_78,6,ocr_errors,3,"target:4->9, target:1->9, target:17->18"
6_79,6,ocr_errors,3,"target:1->13, target:40->90, target:16->120"
6_80,6,ocr_errors,4,"target:16->18, target:60->10, target:4->9, target:42->432"
6_81,6,ocr_errors,2,"target:0->120, target:2->120"
6_82,6,ocr_errors,2,"target:6->40, target:32->300"
6_83,6,ocr_errors,6,"target:14->19, target:7->9, target:2->4, target:17->13, target:4->14, target:6->60"
6_84,6,ocr_errors,3,"target:4->40, target:0->6, target:11->16"
6_85,6,ocr_errors,3,"target:36->360, target:3->30, target:7->9"
6_86,6,ocr_errors,1,target:40->480
6_87,6,none,0,
6_88,6,ocr_errors,5,"target:6->120, target:1->7, target:14->120, target:2->40, target:1->15"
6_89,6,ocr_errors,4,"target:2->60, target:1->7, target:6->8, target:10->120"
6_90,6,ocr_errors,1,target:111->11
6_91,6,ocr_errors,4,"target:2->72, target:2->600, target:4->40, target:7->9"
6_92,6,ocr_errors,2,"target:2->60, target:10->16"
6_93,6,ocr_errors,5,"target:4->9, target:12->72, target:1->12, target:16->12, target:17->12"
6_94,6,ocr_errors,6,"target:6->10, target:2->30, target:0->17, target:4->240, target:4->9, target:4->9"
6_95,6,ocr_errors,4,"target:5->8, target:7->9, target:7->5, target:4->9"
6_96,6,ocr_errors,6,"target:32->360, target:6->8, target:6->60, target:4->24, target:4->60, target:2->72"
6_97,6,ocr_errors,5,"target:7->4, target:14->19, target:7->9, target:16->14, target:7->9"
6_98,6,ocr_errors,1,target:14->180
6_99,6,ocr_errors,6,"target:4->24, target:0->300, target:4->24, target:12->72, target:2->60, target:2->24"
7_0,7,ocr_errors,6,"target:1->9, target:13->15, target:4->420, target:3->630, target:76->96, target:4->48"
7_1,7,ocr_errors,12,"target:40->840, target:4->24, target:7->90, target:4->45, target:7->1, cage_boundary:17add->Different cage boundaries, target:1->9, target:40->90, target:2->28, target:5->56, missing_cage:None->15mul, missing_cage:None->17add"
7_2,7,ocr_errors,6,"target:15->105, target:4->48, target:2->20, target:14->140, target:6->13, target:4->30"
7_3,7,ocr_errors,6,"target:22->210, target:1->12, target:14->19, target:71->21, target:4->840, target:13->12"
7_4,7,ocr_errors,4,"target:10->19, target:2->600, target:4->20, target:16->18"
7_5,7,ocr_errors,5,"target:4->20, target:4->14, target:7->9, target:22->18, target:24->210"
7_6,7,ocr_errors,8,"target:4->8, target:5->35, target:7->24, target:7->72, target:12->105, target:4->40, target:13->19, target:0->35"
7_7,7,ocr_errors,3,"target:142->144, target:108->168, target:62->252"
7_8,7,ocr_errors,3,"target:107->105, target:5->20, target:160->60"
7_9,7,ocr_errors,6,"target:2->60, target:0->2.0, target:4->84, target:6->10, target:11->17, target:7->4"
7_10,7,ocr_errors,4,"target:17->19, target:12->18, target:1->10, target:0->3.0"
7_11,7,ocr_errors,9,"target:1->7, target:5->35, target:11->17, target:17->14, target:10->16, target:2->24, target:108->168, target:2->24, target:4->9"
7_12,7,ocr_errors,6,"target:14->19, target:1->84, target:7->2.0, target:7->5, target:2->8, target:2->420"
7_13,7,ocr_errors,20,"cage_boundary:87mul->Different cage boundaries, cage_boundary:0->Different cage boundaries, target:2->60, cage_boundary:28mul->Different cage boundaries, cage_boundary:0->Different cage boundaries, target:2->13, cage_boundary:210mul->Different cage boundaries, cage_boundary:0->Different cage boundaries, target:45->245, cage_boundary:10mul->Different cage boundaries, cage_boundary:0->Different cage boundaries, target:5->3, target:7->9, cage_boundary:8add->Different cage boundaries, cage_boundary:0->Different cage boundaries, missing_cage:None->280mul, missing_cage:None->10mul, missing_cage:None->84mul, missing_cage:None->216mul, missing_cage:None->8add"
7_14,7,ocr_errors,24,"cage_boundary:14mul->Different cage boundaries, cage_boundary:0->Different cage boundaries, target:2->840, target:1->30, cage_boundary:4mul->Different cage boundaries, cage_boundary:0->Different cage boundaries, target:2->42, cage_boundary:1sub->Different cage boundaries, cage_boundary:0->Different cage boundaries, target:1->7, cage_boundary:126mul->Different cage boundaries, cage_boundary:0->Different cage boundaries, target:70->90, cage_boundary:15add->Different cage boundaries, cage_boundary:0->Different cage boundaries, target:0->630, cage_boundary:3sub->Different cage boundaries, cage_boundary:0->Different cage boundaries, missing_cage:None->1sub, missing_cage:None->15add, missing_cage:None->4mul, missing_cage:None->126mul, missing_cage:None->3sub, missing_cage:None->14mul"
7_15,7,ocr_errors,7,"target:12->126, target:14->120, target:1->8, target:1->15, target:2->72, target:7->9, target:11->17"
7_16,7,ocr_errors,8,"target:2->30, target:14->19, target:2->42, target:2->42, target:2->15, target:29->252, target:12->168, target:17->105"
7_17,7,ocr_errors,5,"target:4->42, target:17->15, target:25->252, target:2->200, target:36->336"
7_18,7,ocr_errors,8,"target:7->2, target:6->42, target:4->20, target:70->10, target:6->10, target:32->350, target:14->19, target:2->24"
7_19,7,ocr_errors,9,"target:6->20, target:12->17, target:17->12, target:0->6, target:17->19, target:4->20, target:2->36, target:2->21, target:12->17"
7_20,7,ocr_errors,6,"target:2->60, target:2->60, target:2->20, target:1->10, target:2->420, target:2->24"
7_21,7,ocr_errors,9,"target:7->3, target:2->20, target:56->560, target:17->14, target:7->9, target:10->105, target:0->12, target:35->36, target:1->7"
7_22,7,ocr_errors,4,"target:5->60, target:4->84, target:232->252, target:4->40"
7_23,7,ocr_errors,4,"target:40->240, target:22->18, target:12->150, target:11->10"
7_24,7,ocr_errors,6,"target:11->17, target:1->14, target:1->7, target:5->45, target:17->14, target:7->9"
7_25,7,ocr_errors,7,"target:2->20, target:1->2, target:0->6, target:6->8, target:190->196, target:2->420, target:1->7"
7_26,7,ocr_errors,7,"target:40->42, target:12->120, target:14->180, target:3->5, target:17->19, target:12->120, target:14->19"
7_27,7,ocr_errors,7,"target:7->2, target:17->19, target:12->150, target:0->6, target:44->420, target:1->14, target:2->30"
