puzzle_id,size,size_detected,size_correct,num_cages_expected,num_cages_detected,solved,solve_time_ms
19,4,4,True,7,7,False,175.60815811157227
20,4,4,True,6,6,False,174.90267753601074
21,4,4,True,7,7,True,177.3369312286377
22,4,4,True,7,7,True,181.20884895324707
23,4,4,True,8,8,True,176.1951446533203
24,4,4,True,7,7,False,177.5491237640381
25,4,4,True,7,7,False,176.9101619720459
26,4,4,True,8,8,False,175.3380298614502
27,4,4,True,6,6,False,173.80499839782715
28,4,4,True,8,8,False,172.83368110656738
29,4,4,True,8,8,False,176.2070655822754
30,4,4,True,8,8,False,180.88674545288086
31,4,4,True,8,8,True,192.36421585083008
32,4,4,True,8,8,False,169.25406455993652
33,4,4,True,8,8,False,174.95203018188477
34,4,4,True,9,9,False,173.03180694580078
35,4,4,True,7,7,True,167.9210662841797
36,4,4,True,7,7,True,168.32590103149414
37,4,4,True,8,8,False,168.67518424987793
38,4,4,True,8,8,False,179.40425872802734
39,4,4,True,8,8,False,169.28625106811523
40,4,4,True,7,7,True,171.1411476135254
41,4,4,True,7,7,True,171.45490646362305
42,4,4,True,7,7,False,175.54998397827148
43,4,4,True,7,7,False,167.65403747558594
44,4,4,True,8,8,False,170.49717903137207
45,4,4,True,7,7,False,175.27079582214355
46,4,4,True,8,8,True,174.87478256225586
47,4,4,True,6,6,False,170.23587226867676
48,4,4,True,7,7,False,339.1411304473877
49,4,4,True,7,7,False,183.26282501220703
50,4,4,True,7,7,False,179.03709411621094
51,4,4,True,8,8,False,174.7879981994629
52,4,4,True,7,7,False,179.82077598571777
53,4,4,True,8,8,True,179.63004112243652
54,4,4,True,7,7,False,174.8065948486328
55,4,4,True,7,7,True,181.11014366149902
56,4,4,True,8,8,True,227.9188632965088
57,4,4,True,7,7,False,171.01120948791504
58,4,4,True,7,7,False,175.35877227783203
59,4,4,True,8,8,False,162.93573379516602
60,4,4,True,7,7,False,171.79608345031738
61,4,4,True,8,8,False,168.98512840270996
62,4,4,True,7,7,False,170.27688026428223
63,4,4,True,8,8,False,167.9821014404297
64,4,4,True,7,7,False,188.0331039428711
65,4,4,True,7,7,False,182.40094184875488
66,4,4,True,8,8,True,184.74078178405762
67,4,4,True,8,8,True,175.9030818939209
68,4,4,True,8,8,False,173.97403717041016
69,4,4,True,7,7,False,168.97106170654297
70,4,4,True,6,6,False,172.10912704467773
71,4,4,True,8,8,False,175.18210411071777
72,4,4,True,8,8,False,183.29787254333496
